ObjectKey,FetchDate,State,County,PropertyLink,Address,ListingPrice,BuyWithRedfin,Vendor,Status,PropertyType,Style,LotSize,TimeOnRedfin,YearBuilt,Community,MlsNo,ListPrice,RedfinEstimate,BuyerAgentCommission,EstMoPayment,PriceSqFt
7e1267350e558939c88afa93e480beb454fd21cc964c42bde20cce18036483ed,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Inglewood/1228-Myrtle-Ave-90301/home/6460242,"1228 Myrtle Ave,Inglewood, CA 90301","$1,668,000","Buy with Redfin: $1,664,481",matterport,Active,Residential Income,,"6,000 Sq. Ft.",7 days,1950,South Inglewood,22-176309,"$1,668,000","$1,662,508",2.5%,"$9,306",$750
e27dd46a8aa3c266098c8d269ff938c195fefaf1b5226d722cf87f155c49bce0,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Culver-City/12323-Alberta-Dr-90230/home/6730140,"12323 Alberta Dr,Culver City, CA 90230","$1,045,000","Buy with Redfin: $1,042,771",matterport,Active,"Single Family, Residential Single-Family",Traditional,"2,881 Sq. Ft.",5 days,1952,Culver City,22-176847,"$1,045,000","$1,054,091",2.5%,"$5,824","$1,039"
d93d1d9d771e0ed304f26bfde9aea876afd67295ba6e568452bc533183107de2,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Northridge/11138-Garden-Grove-Ave-91326/home/5789555,"11138 Garden Grove Ave,Porter Ranch, CA 91326","$1,200,000","Buy with Redfin: $1,197,447",matterport,Active,Single Family Residence,Ranch,0.25 Acres,5 days,1957,PORA - Porter Ranch,SR22152366,"$1,200,000","$1,202,358",1.04%,"$6,695",$507
49b809c8e0f306963786fd386b24e6d65d69e5cb1f6a7423f12c60d202502387,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Marina-Del-Rey/310-Washington-Blvd-90292/unit-206/home/40388467,"310 Washington Blvd #206,Marina Del Rey, CA 90292","$1,699,000","Buy with Redfin: $1,695,418",matterport,Active,"Townhouse, Residential Condo/Co-Op",Contemporary,0.37 Acres,24 days,2012,Marina Del Rey,22-171445,"$1,699,000","$1,731,583",2.5%,"$10,265",$867
7fc533d18a6e0c1d00e5089e95f932f48b4956bb586ba3f22c254eb419783aaa,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Los-Angeles/969-Hilgard-Ave-90024/unit-1208/home/6825154,"969 Hilgard Ave #1208,Los Angeles, CA 90024","$874,980","Buy with Redfin: $873,141",matterport,Active,Condo,,0.90 Acres,10 days,1961,C05 - Westwood - Century City,PW22148716,"$874,980","$874,663",2.5%,"$5,760",$910
5f55b3f8ff9a9e92f5606ccbf881251559bdb68a5a0908927c5c6a5328e4c778,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Glendale/707-Orange-Grove-Ave-91205/unit-7/home/7172594,"707 Orange Grove Ave #7,Glendale, CA 91205","$599,000","Buy with Redfin: $597,829",matterport,Active,Townhouse,,0.39 Acres,24 days,1965,628 - Glendale-South of 134 Fwy,PF22136937,"$599,000","$621,224",2.5%,"$3,642",$583
62d910bb13db70b59eef451d95a5b0f77033d7848fffdb180c60e52fc89aefa8,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Marina-Del-Rey/4060-Glencoe-Ave-90292/unit-331/home/8151867,"4060 Glencoe Ave #331,Marina del Rey, CA 90292","$1,178,000","Buy with Redfin: $1,175,493",matterport,Active,Condo,,1.37 Acres,38 days,2004,C12 - Marina Del Rey,OC22124393,"$1,178,000","$1,175,315",2%,"$7,053",$866
79cfdba7005297f71351dd57e5e843339159efa9ea6e176837757d90676d94ed,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/West-Covina/1805-E-Larkwood-St-91791/home/7958843,"1805 E Larkwood St,West Covina, CA 91791","$769,000","Buy with Redfin: $767,424",matterport,Active,Single Family Residence,,"8,679 Sq. Ft.",5 days,1958,669 - West Covina,P1-10434,"$769,000","$769,012",2.5%,"$4,290",$501
1925467ffff69ccc55ab4770d89c28d69da5cdc139546b913101014c107daa80,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Los-Angeles/4042-Marchena-Dr-90065/home/7074916,"4042 Marchena Dr,Los Angeles, CA 90065","$1,850,000","Buy with Redfin: $1,846,110",matterport,Active,"Single Family, Residential Single-Family",Mid-Century,0.41 Acres,7 days,1965,Mt Washington,22-177681,"$1,850,000","$1,846,696",2.5%,"$10,321",$742
43e69eba147714f25f2d1a408b61cb1457b0eb956694c49708fa3f2234bb9d56,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Hawthorne/13326-Judah-Ave-90250/home/6671596,"13326 Judah Ave,Hawthorne, CA 90250","$1,349,000","Buy with Redfin: $1,346,138",matterport,Active,Single Family Residence,Ranch,"5,491 Sq. Ft.",3 days,1955,107 - Holly Glen/Del Aire,SB22143635,"$1,349,000","$1,406,798",2.5%,"$7,526",$924
6da6866f8d68f5b3d5d517bc2be7c6eb882a018ed1cb081d668a196faf42c9ab,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Monrovia/359-Heather-Heights-Ct-91016/home/7964255,"359 N Heather Heights Ct,Monrovia, CA 91016","$1,358,000","Buy with Redfin: $1,355,119",matterport,Active,Single Family Residence,Spanish,"6,013 Sq. Ft.",10 days,1930,639 - Monrovia,P1-10375,"$1,358,000","$1,385,939",2.5%,"$7,576",$689
f12825465cfa846cbd836463e90221303f7309d1847ba74630bdfa1d1faca1f6,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Inglewood/7000-S-La-Cienega-Blvd-90302/unit-6/home/6438619,"7000 S La Cienega Blvd #6,Inglewood, CA 90302","$563,000","Buy with Redfin: $561,918",matterport,Active,Condo,Traditional,,4 days,1963,101 - North Inglewood,P1-10458,"$563,000",,2.5%,"$3,555",$500
5041f66224b178f02798f0bf0fbfc63d734f18e4cf8cd4106faa7682aef640ac,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Mission-Hills/10441-Burnet-Ave-91345/home/5668332,"10441 Burnet Ave,Mission Hills (San Fernando), CA 91345","$789,900","Buy with Redfin: $788,273",matterport,Active,Single Family Residence,,"7,496 Sq. Ft.",11 days,1955,MHL - Mission Hills,SR22141155,"$789,900","$802,540",2.5%,"$4,407",$550
503304546b12921d6f9816f2948208a912858277078434cab75de1923e3bf1c4,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Los-Angeles/1636-Redcliff-St-90026/home/7058910,"1636 Redcliff St,Los Angeles, CA 90026","$1,499,000","Buy with Redfin: $1,495,828",matterport,Active,Multi-Family (2-4 Unit),,"5,771 Sq. Ft.",9 days,1957,671 - Silver Lake,PW22150347,"$1,499,000","$1,503,964",2%,"$8,363",$726
94179af887e9e3c7d4d72f34edb5d023482974d9236389d0ddbe712dcfbea212,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Lake-Balboa/17336-Parque-Vanowen-Way-91406/home/113759527,"17336 Parque Vanowen Way,Lake Balboa, CA 91406","$970,000","Buy with Redfin: $967,930",matterport,Active,Single Family Residence,,"3,086 Sq. Ft.",4 days,2016,Lake Balboa,222003536,"$970,000",,2.5%,"$5,545",$437
e9a58d64faaef9176fe88e7ed08d6f48315b2ec3a06d28e6f899fb491206e7ea,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Harbor-City/26198-Governor-Ave-90710/home/7673078,"26198 Governor Ave,Harbor City, CA 90710","$1,099,000","Buy with Redfin: $1,096,658",matterport,Active,Single Family Residence,,"6,375 Sq. Ft.",1 day,1954,124 - Harbor City,PW22155304,"$1,099,000",,2%,"$6,131",$468
49189ba1d9051625417b39c22b7089766387a0183624fed7e4798a985baf9947,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Reseda/6952-Sylvia-Ave-91335/home/3874328,"6952 Sylvia Ave,Reseda, CA 91335","$1,150,000","Buy with Redfin: $1,147,552",matterport,Active,Single Family Residence,"Modern, Traditional","6,293 Sq. Ft.",25 days,1955,RES - Reseda,SR22136528,"$1,150,000","$1,142,514",2.5%,"$6,416",$585
41bf5103b3e9c325a222323b22e043bea8b54bc1d06f1dc4e33c5de6f0b33042,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Torrance/929-Sorock-Dr-90502/home/7669765,"929 Sorock Dr,Torrance, CA 90502","$895,000","Buy with Redfin: $893,110",matterport,Active,Single Family Residence,,"5,494 Sq. Ft.",16 days,1956,123 - County Strip,SB22142283,"$895,000","$909,283",2.5%,"$4,993",$731
982fc03879e1eb4ce51b2bdecf0a7eaf41ab9497dcf5d5dbe833a3a19f340fcd,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Woodland-Hills/6050-Nevada-Ave-91367/unit-11/home/12365148,"6050 Nevada Ave #11,Woodland Hills, CA 91367","$399,000","Buy with Redfin: $398,376",matterport,Active,Condo,,8.50 Acres,7 days,1966,WHLL - Woodland Hills,SR22147292,"$399,000","$399,701",2%,"$2,687",$393
65e0e3070245a2f25b711eb9d571b1ba532796f98d2f7725b035db086d27c60a,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Santa-Fe-Springs/11215-Elkhurst-St-90670/home/7752800,"11215 Elkhurst St,Santa Fe Springs, CA 90670","$720,000","Buy with Redfin: $718,541",matterport,Active,Single Family Residence,,"6,191 Sq. Ft.",9 days,1952,M2 - Santa Fe Springs,TR22148034,"$720,000","$719,590",2%,"$4,017",$556
2acd03fdd7827e740688dd6e6e2c62b7230aaf2fc051893e1377df7195d339d9,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Whittier/15040-Flomar-Dr-90603/home/7846484,"15040 Flomar Dr,Whittier, CA 90603","$749,900","Buy with Redfin: $748,371",matterport,Active,Single Family Residence,,"5,871 Sq. Ft.",8 hours,1951,670 - Whittier,PW22153928,"$749,900","$756,822",2%,"$4,184",$670
cb8a20403a46f4f8ab4b2d703795104563818637ca3455f0b4f428ad34512bcd,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Venice/1217-Elm-St-90291/home/6740582,"1217 Elm St,Venice, CA 90291","$2,299,000","Buy with Redfin: $2,294,182",matterport,Active,Single Family Residence,,"4,388 Sq. Ft.",5 days,1952,C11 - Venice,SB22152768,"$2,299,000","$2,368,333",2%,"$12,826","$1,508"
5c496918102925fe0e8c962c686d7fbe3ba3a58f69721a55d5bdf0bbfc336869,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Marina-Del-Rey/15-Spinnaker-St-90292/unit-101/home/6782732,"15 Spinnaker St #101,Marina del Rey, CA 90292","$1,389,000","Buy with Redfin: $1,386,055",matterport,Active,Condo,,0.41 Acres,10 days,1967,C12 - Marina Del Rey,SB22149095,"$1,389,000","$1,386,632",2%,"$8,324","$1,039"
ae9e64683764edd7a8218bd3ef7353d0d65cc3a1e45aead8add73375ea24c538,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Arcadia/2414-S-8th-Ave-91006/home/7241113,"2414 S 8th Ave,Arcadia, CA 91006","$1,300,000","Buy with Redfin: $1,297,239",matterport,Active,Single Family Residence,,"8,781 Sq. Ft.",10 days,1955,605 - Arcadia,WS22139412,"$1,300,000","$1,305,015",2.5%,"$7,253",$900
28a81654a7ec571f203aa1e3830ea66a0ddbe1195f640df138865058219093c9,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/La-Habra-Heights/1448-N-Cypress-St-90631/home/3101953,"1448 N Cypress St,La Habra, CA 90631","$1,550,000","Buy with Redfin: $1,546,272",matterport,Active,Single Family Residence,,0.30 Acres,10 days,2003,87 - La Habra,WS22149278,"$1,550,000","$1,548,385",2%,"$8,647",$374
96984965e9bdf4ac75a6eeadade3bc71fd1994c8a1614700048571e58ec47d24,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Llano/32141-Crystalaire-Dr-93544/home/6234029,"32141 Crystalaire Dr,Llano, CA 93544","$449,000",,matterport,Active,Single Family Detached,,0.47 Acres,9 days,1987,Llano,22006399,"$449,000","$455,992",,"$2,505",$275
4bcb50d5f7d75c507d4f74c8a94a3c29cf255801a7a5d4c2ef3ddc47235839e4,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Burbank/2030-Richard-St-91504/home/5365714,"2030 Richard St,Burbank, CA 91504","$1,289,982","Buy with Redfin: $1,287,242",matterport,Active,Single Family Residence,,"6,491 Sq. Ft.",3 days,1951,610 - Burbank,BB22155640,"$1,289,982","$1,319,790",2.5%,"$7,197",$771
0a92078e3419615a8805850734ecd81baf1644bc03e703566b1bea541e55e027,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Redondo-Beach/1920-S-Pacific-Coast-Hwy-90277/unit-119/home/168673542,"1920 Pacific Coast Hwy S #119,Redondo Beach, CA 90277","$1,329,000","Buy with Redfin: $1,326,179",matterport,Active,Townhouse,Modern,1.43 Acres,5 days,2018,156 - S Redondo Bch S of Torrance Bl,SB22137254,"$1,329,000","$1,332,597",2.5%,"$7,869",$670
44f0d370199f1ffaec97d67d1f686afde8bf34ae93d498d4bc751912c1d8bfb9,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Los-Angeles/130-N-Beverly-Glen-Blvd-90077/home/6824214,"130 N Beverly Glen Blvd,Los Angeles, CA 90077","$8,950,000","Buy with Redfin: $8,933,258",matterport,Active,"Single Family, Residential Single-Family",Traditional,0.88 Acres,3 days,1940,Bel Air - Holmby Hills,22-164209,"$8,950,000","$8,951,802",2.5%,"$49,931","$1,558"
db67d0e44b84fbcd6ca879f1a62e817da60a203be2d37d9d84ef22b560a7e3f4,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Tujunga/9844-Marnice-Ave-91042/home/5542864,"9844 Marnice Ave,Tujunga, CA 91042","$929,929","Buy with Redfin: $927,947",matterport,Active,Single Family Residence,,"6,562 Sq. Ft.",4 days,1954,659 - Sunland/Tujunga,BB22153753,"$929,929",,2.5%,"$5,188",$669
bccd9dd2f216c4f23db6188d03f2f352af99e70ebab2d4b627ffa965687c086b,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Los-Angeles/2523-Bellevue-Ave-90026/home/7052207,"2523 Bellevue Ave,Los Angeles, CA 90026","$649,000","Buy with Redfin: $647,712",matterport,Active,Single Family Residence,,"3,358 Sq. Ft.",13 days,1904,671 - Silver Lake,BB22140259,"$649,000","$710,580",2.5%,"$3,621",$649
9c53af7ff1d9a232a00442d43c01dd95e8537fb4693079d0763e23e983a6617f,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Pasadena/520-E-Ladera-St-91104/home/7257617,"520 E Ladera St,Pasadena, CA 91104","$1,098,000","Buy with Redfin: $1,095,660",matterport,Active,Single Family Residence,Traditional,"9,645 Sq. Ft.",3 days,1962,646 - Pasadena (NE),P1-10477,"$1,098,000","$1,114,198",2.5%,"$6,126",$584
be7373fdf0943ad6c48229ab525cd7b7437888c7c17059ed41e6e53619d78186,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Studio-City/4236-Longridge-Ave-91604/unit-203/home/5247791,"4236 Longridge Ave #203,Studio City, CA 91604","$799,000","Buy with Redfin: $797,353",matterport,Active,Condo,Contemporary,0.32 Acres,5 days,1989,Studio City,22-175696,"$799,000","$799,217",2.5%,"$4,933",$535
3822f4e0a55b3e109c092f726ee6ff2ff945aff5d638bd8d3ea62c74cac19a61,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Pasadena/1390-N-Roosevelt-Ave-91104/home/7264971,"1390 N Roosevelt Ave,Pasadena, CA 91104","$1,199,000","Buy with Redfin: $1,196,449",matterport,Active,Single Family Residence,Traditional,"6,758 Sq. Ft.",5 days,1937,646 - Pasadena (NE),P1-10442,"$1,199,000","$1,232,834",2.5%,"$6,689",$777
2afbc28a6f6561dbc8d2e771d5539787956d0201d6ae27a7a8e166b07bbeb2d4,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Redondo-Beach/708-Beryl-St-90277/home/7700801,"708 Beryl St,Redondo Beach, CA 90277","$1,499,000","Buy with Redfin: $1,495,828",matterport,Active,Townhouse,,0.27 Acres,13 hours,1990,155 - S Redondo Bch N of Torrance Bl,SB22155617,"$1,499,000","$1,510,781",2.5%,"$8,543",$625
40339f05a63358a2789027c1a4235df957dbbecb70ee2731a802269cf0c36e79,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Los-Angeles/6119-Maryland-Dr-90048/home/7092536,"6119 Maryland Dr,Los Angeles, CA 90048","$3,690,000","Buy with Redfin: $3,682,297",matterport,Active,Residential Single-Family,Contemporary,"5,855 Sq. Ft.",4 days,2015,Beverly Center-Miracle Mile,22-179063,"$3,690,000",,2.5%,"$20,586",$976
f41ee6abbdacf5c4eca4fea52a535468ab1844f1218e6cc9e81cda0bff28f65e,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Winnetka/20253-Keswick-St-91306/unit-105/home/8179929,"20253 Keswick St #105,Winnetka, CA 91306","$375,000","Buy with Redfin: $374,445",matterport,Active,Condo,,1.34 Acres,4 days,1988,WIN - Winnetka,BB22149048,"$375,000",,2%,"$2,542",$595
ccceefb3fa32979d9f0793055c20a15b06950e8ac6d0e0afcdc489fd50c7779b,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Santa-Monica/211-California-Ave-90403/unit-205/home/6780868,"211 California Ave #205,Santa Monica, CA 90403","$1,249,000","Buy with Redfin: $1,246,345",matterport,Active,Condo,Contemporary,0.34 Acres,14 hours,1989,Santa Monica,22-180013,"$1,249,000","$1,249,642",2.5%,"$7,818","$1,024"
3c2be52d6c17b38c70c9afc48645e8b270224b2628379a3b6b051acabb1297d9,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Canoga-Park/7829-Casaba-Ave-91306/home/3679607,"7829 Casaba Ave,Winnetka, CA 91306","$1,199,999","Buy with Redfin: $1,197,446",matterport,Active,Single Family Residence,,"5,360 Sq. Ft.",6 days,1979,WIN - Winnetka,SR22152883,"$1,199,999","$1,218,728",2%,"$6,695",$369
edada5494ef3c6279868cf4b3d594b1e8573443e7d1bf3875163c993115988b5,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Los-Angeles/880-W-1st-St-90012/unit-308/home/6933503,"880 W 1st St #308,Los Angeles, CA 90012","$635,000","Buy with Redfin: $633,749",matterport,Active,Condo,Contemporary,2.84 Acres,10 hours,1982,C42 - Downtown L.A.,PW22155255,"$635,000","$635,660",2%,"$4,667",$480
4d9bde86936fda0b66be92813c1ba614abccbfe3e6c5816fc22832a3fafae70f,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Pasadena/625-S-Orange-Grove-Blvd-91105/unit-4/home/7187493,"625 S Orange Grove Blvd #4,Pasadena, CA 91105","$835,000","Buy with Redfin: $833,274",matterport,Active,Condo,French,,13 days,1965,647 - Pasadena (SW),P1-10301,"$835,000","$849,439",3%,"$5,584",$496
16d02a0bea2c6f119957b074bddcd7050dc64f3a23a1a8c84af6908d407725c9,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Malibu/26227-Fairside-Rd-90265/home/6854321,"26227 Fairside Rd,Malibu, CA 90265","$2,200,000","Buy with Redfin: $2,195,389",matterport,Active,Single Family Residence,Contemporary,"7,478 Sq. Ft.",4 days,1995,Malibu,222003540,"$2,200,000",,2.5%,"$12,274","$1,373"
e459b015414db39ca7aaa92fba5b93c82fb385f03302293d6818941fbb8468b0,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Tarzana/18718-Collins-St-91356/home/4053894,"18718 Collins St,Tarzana, CA 91356","$1,099,000","Buy with Redfin: $1,096,658",matterport,Active,Single Family Residence,,"6,144 Sq. Ft.",3 days,1950,TAR - Tarzana,SR22153338,"$1,099,000","$1,102,473",2.5%,"$6,131",$636
4de377f29880b70bcbde6bdb2b1a348375f71fc75e6219089aab9cfbe3111523,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Hermosa-Beach/1836-Hillcrest-Dr-90254/home/6714932,"1836 Hillcrest Dr,Hermosa Beach, CA 90254","$1,799,000","Buy with Redfin: $1,795,213",matterport,Active,Single Family Residence,Cottage,"3,402 Sq. Ft.",12 days,1954,150 - Hermosa Bch East,SB22146528,"$1,799,000","$1,782,191",2.5%,"$10,036","$1,908"
5c54346892309ec87bc21fa79e8274855981f3fda0e646ba17e784770588c793,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Whittier/11122-Canyon-Meadows-Dr-90601/home/7806502,"11122 Canyon Meadows Dr,Whittier, CA 90601","$899,000","Buy with Redfin: $897,100",matterport,Active,Single Family Residence,Spanish,0.25 Acres,4 days,1982,678 - N. Whittier,PW22154715,"$899,000",,2%,"$5,075",$486
6c6587b9944b175aac913d76c05cf2b4cb893a9724162d03d6e6ef233859a434,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Norwalk/10940-Mapledale-St-90650/home/7788336,"10940 Mapledale St,Norwalk, CA 90650","$619,000",,matterport,Coming Soon,Single Family Residential,,"5,167 Sq. Ft.",3 days,1950,Norwalk,,,,,"$3,453",$797
e1b23466893156f56b88341c2120e3b40813543e22924c824a1f5518d546a78b,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Burbank/524-Amherst-Dr-91504/home/5353998,"524 Amherst Dr,Burbank, CA 91504","$2,475,000","Buy with Redfin: $2,469,816",matterport,Active,Single Family Residence,,0.26 Acres,7 days,1947,610 - Burbank,BB22115126,"$2,475,000","$2,462,176",2.5%,"$13,808",$842
90859327e26dfad7896163b26c4e96e702afc53a6c342e4a1767454cceb6720f,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Granada-Hills/12174-Woodley-Ave-91344/home/5567594,"12174 Woodley Ave,Granada Hills, CA 91344","$1,195,000","Buy with Redfin: $1,192,458",matterport,Active,"Single Family, Residential Single-Family",Traditional,0.33 Acres,3 days,1963,Granada Hills,22-179033,"$1,195,000","$1,226,276",2%,"$6,667",$503
82c5116290b11d6aec4273397c3e591e70e43a6dc360a774010f0e0f7b15a381,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Los-Angeles/8120-Tianna-Rd-90046/home/7123760,"8120 Tianna Rd,Los Angeles, CA 90046","$2,200,000","Buy with Redfin: $2,195,389",matterport,Active,"Single Family, Residential Single-Family",Contemporary,"10,253 Sq. Ft.",11 days,1980,Sunset Strip - Hollywood Hills West,22-176323,"$2,200,000","$2,183,269",2.5%,"$12,274",$787
edf26704f2483c63d46beaf3bd1e948dc3a6e0ddad99e994d1222663fb0ae5ed,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Long-Beach/728-Ohio-Ave-90804/home/7607074,"728 Ohio Ave,Long Beach, CA 90804","$498,889",,matterport,Active,Condo,,"10,637 Sq. Ft.",6 days,1973,"3 - Eastside, Circle Area",OC22150709,"$498,889","$499,024",2%,"$2,958",$476
6ca2093800c93124ed9a497409614cb34490f2a466966ea7454badd9c151b583,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Lakewood/4847-Carfax-Ave-90713/home/7557196,"4847 Carfax Ave,Lakewood, CA 90713","$799,900","Buy with Redfin: $798,251",matterport,Active,Single Family Residence,,"5,167 Sq. Ft.",20 days,1950,23 - Lakewood Park,PW22140801,"$799,900","$830,979",2%,"$4,463",$733
760963a5a1a8541f1e50bc7f9e25c02fb308e5c228a464abef83a8ee7dcb51b9,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Walnut/21029-Stoddard-Wells-Rd-91789/home/8060877,"21029 Stoddard Wells Rd,Walnut, CA 91789","$1,350,000",,matterport,Active,Single Family Residence,,0.48 Acres,5 days,1988,668 - Walnut,PF22131193,"$1,350,000","$1,399,316",1%,"$7,532",$585
4830a9ca35894a9373da7265fb3f6225abecedc2aae9f63801af4707cc264a2e,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Long-Beach/825-E-37th-St-90807/home/7527945,"825 E 37th St,Long Beach, CA 90807","$1,200,000","Buy with Redfin: $1,197,447",matterport,Active,Single Family Residence,Spanish,"5,446 Sq. Ft.",7 hours,1924,"6 - Bixby, Bixby Knolls, Los Cerritos",PV22153454,"$1,200,000","$1,221,860",2.5%,"$6,688",$716
d2103a811fba3271d4f80c997579a6a958526c2e4542da4c6acd72b3723391dd,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Glendale/1601-Highland-Ave-91202/home/7152099,"1601 Highland Ave,Glendale, CA 91202","$1,700,000","Buy with Redfin: $1,696,416",matterport,Active,"Single Family, Residential Single-Family",Spanish,"8,152 Sq. Ft.",5 days,1929,Glendale-Northwest,22-178085,"$1,700,000","$1,730,197",2.5%,"$9,484",$694
abb40a81bb6b041802247fd76bce7b06474fe953e589881fdc269d2be5d1c404,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Encino/5460-White-Oak-Ave-91316/unit-E115/home/4771635,"5460 White Oak Ave Unit E115,Encino, CA 91316","$350,000",,matterport,Active,Condo,,9.33 Acres,16 hours,1971,ENC - Encino,SR22157049,"$350,000","$363,324",2.5%,"$2,625",$354
933aec6c5f89be3a930e84dcd01cfb17eab0c91dfe1502600f67a09bcad78fed,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Rancho-Palos-Verdes/3246-Deluna-Dr-90275/home/7733964,"3246 Deluna Dr,Rancho Palos Verdes, CA 90275","$2,849,000","Buy with Redfin: $2,843,039",matterport,Active,Single Family Residence,"Custom Built, Ranch, Traditional",0.27 Acres,4 days,1962,168 - Mira Catalina,SB22153437,"$2,849,000",,2%,"$15,894",$689
c6a6b68aa3569d93739b0368d939c242d836dd9f9b921d72d145b67b05f7e257,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Claremont/1531-Woodbend-Dr-91711/home/7884130,"1531 Woodbend Dr,Claremont, CA 91711","$899,999","Buy with Redfin: $898,096",matterport,Active,Single Family Residence,Ranch,"9,742 Sq. Ft.",12 days,1956,683 - Claremont,CV22136419,"$899,999","$940,109",2.5%,"$5,021",$538
008293d07f512551e998e035e84ae0705fef042fd51a668694ac44725d54cc76,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Northridge/20621-Como-Ln-91326/home/8108212,"20621 Como Ln,Porter Ranch, CA 91326","$1,400,000","Buy with Redfin: $1,397,032",matterport,Active,Single Family Residence,,0.27 Acres,5 days,2003,PORA - Porter Ranch,SR22153294,"$1,400,000","$1,398,781",2.5%,"$8,097",$490
488f78415f551682da51b5af6d24921e0de35db9af3c1ccf4bda7b9f8348d2cb,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Chatsworth/9515-Kessler-Ave-91311/home/5850898,"9515 Kessler Ave,Chatsworth, CA 91311","$975,000","Buy with Redfin: $972,919",matterport,Active,Single Family Residence,,"7,572 Sq. Ft.",32 days,1957,CHT - Chatsworth,BB22128297,"$975,000","$991,142",2.5%,"$5,439",$556
b3ace1b36d07509f3d19c45132e8599201a3003ca3a46651f5f4fa4f2103d852,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Pasadena/450-N-El-Molino-Ave-91101/home/7194639,"450 N El Molino Ave,Pasadena, CA 91101","$820,000","Buy with Redfin: $818,309",matterport,Active,Single Family Residence,Craftsman,"4,543 Sq. Ft.",10 days,1907,645 - Pasadena (NW),P1-10357,"$820,000",,2.5%,"$4,575",$745
ce4aba0f295f9126d08936d3d4717bc1e88f78e22aaf7375b827864429d8aa1d,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/La-Canada-Flintridge/4143-Forest-Hill-Dr-91011/home/7246758,"4143 Forest Hill Dr,La Canada Flintridge, CA 91011","$2,795,000","Buy with Redfin: $2,789,151",matterport,Active,Single Family Residence,Traditional,0.51 Acres,4 days,1956,634 - La Canada Flintridge,P1-10469,"$2,795,000",,2.5%,"$15,593",$998
